Tipo;Estación;Calzada;Carriles;Provincia;Población;Carretera;PK;Total;Moto;Lige;Bus;Camión;Pesa;Días
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2011;27503;82;21140;812;5363;000
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2010;29753;118;23186;754;5575;000
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2009;30088;118;23360;764;5722;0
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2008;32251;2;24141;4;1969;0
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2007;34166;237;25107;273;8549;1
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2006;32465;230;24056;254;7925;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2005;30919;206;22890;274;7549;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2004;29826;184;21857;257;7528;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2003;29140;198;21336;242;7364;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2002;28358;0;21100;438;6820;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2001;26306;0;19414;416;6476;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;2000;25134;0;18400;406;6328;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1999;23752;0;17578;372;5802;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1998;21444;0;15870;336;5238;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1997;19362;0;14386;300;4676;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1996;18074;0;13846;254;3974;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1995;17708;0;13530;252;3926;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1994;17132;0;13244;234;3654;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1993;16550;0;12910;220;3420;365
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1992;17368;0;13478;234;3656;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1991;17598;0;13850;226;3522;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1990;16788;0;13330;208;3250;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1989;16834;0;13620;216;2998;001
Peajes;GI-505-3;Total;2+2;GI;GIRONA NORTE;AP-7N;51,00;1988;15272;0;12616;178;2478;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2013;26631;160;18444;1042;6771;000
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2012;23802;94;17931;1058;4619;000
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2011;25413;102;19113;1136;4956;000
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2010;;;;;;000
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2009;27686;110;21050;704;5698;0
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2008;29779;133;21631;736;1928;0
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2007;31346;218;22442;269;8417;1
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2006;29925;212;21640;234;7839;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2005;28753;190;20800;254;7509;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2004;27731;172;19850;238;7471;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2003;27162;186;19452;224;7300;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2002;26692;0;19486;430;6776;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2001;24714;0;17894;408;6412;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;2000;24372;0;17524;410;6438;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1999;24416;0;17800;396;6220;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1998;20418;0;14886;330;5202;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1997;18384;0;13458;294;4632;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1996;17098;0;12824;256;4018;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1995;16730;0;12598;248;3884;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1994;16166;0;12320;230;3616;365
