;;;;;;;;;;;;EVOLUCIÓN HISTÓRICA DE UNA ESTACIÓN;;;;;
;;;;;;;Estación:;A-501-3 Calzada:;;;Total;;Carriles:;;2+2;Prov:;A
;;;;;;;Población:;;OLIVA;;;;Carretera:;;AP-7;PK:;604,36
;;;;;;;;;;;Denominación antigua:;;;;AP-7;;
;;;;IMD;;;;;;% CRECIMIENTO;;;;;FUNCIONAMIENTO;;
;;;;;;;%;;;;;;;No;;Ref. Año;Grado
Año;Total;Moto;Lige;Bus;Camión;Pesa;Pesa;Total;Moto;Lige;Bus;Camión;Pesa;Días;%;Ant;Comarac
2010;5392;24;3334;188;1810;2034;37.7;22.3;20;14.53;22.08;39.45;37.62;000;0;;
2009;4409;20;2911;154;1298;1478;33.5;47.9;0;39.68;0;583.16;64.77;0;33;;
2008;2981;0;2084;0;190;897;30.09;-6.67;-100;-10.56;-100;-77.05;4.79;0;33;;
2007;3194;8;2330;28;828;856;26,8;151.5;0;109.91;250;475;463.16;1;66;;
2006;1270;8;1110;8;144;152;11,96;0;0;0;0;0;0;001;66;;
2005;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2004;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2003;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2002;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2001;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2000;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1999;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1998;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1997;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1996;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1995;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1994;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1993;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1992;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1991;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1990;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1989;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1988;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1986;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1985;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1984;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1983;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1982;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1981;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1980;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1979;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1978;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1977;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1976;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1975;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1974;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1973;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1972;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1971;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1970;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1969;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
;;;;;;;;;;;;;;;;13/06/2014;
;;;;;;;;;;;;EVOLUCIÓN HISTÓRICA DE UNA ESTACIÓN;;;;;
;;;;;;;Estación:;CU-511-3 Calzada:;;;Total;;Carriles:;;2+2;Prov:;CU
;;;;;;;Población:;;;;;;Carretera:;;A-43;PK:;167,31
;;;;;;;;;;;Denominación antigua:;;;;A-43;;
;;;;IMD;;;;;;% CRECIMIENTO;;;;;FUNCIONAMIENTO;;
;;;;;;;%;;;;;;;No;;Ref. Año;Grado
Año;Total;Moto;Lige;Bus;Camión;Pesa;Pesa;Total;Moto;Lige;Bus;Camión;Pesa;Días;%;Ant;Comarac
